playerID,yearID,teamID,inseason,G,W,L
wrighha01,1871,BS1,1,31,20,10
woodji01,1871,CH1,1,28,19,9
paborch01,1871,CL1,1,29,10,19
lennobi01,1871,FW1,1,14,5,9
deaneha01,1871,FW1,2,5,2,3
fergubo01,1871,NY2,1,33,16,17
mcbridi01,1871,PH1,1,28,21,7
hastisc01,1871,RC1,1,25,4,21
pikeli01,1871,TRO,1,4,1,3
cravebi01,1871,TRO,2,25,12,12
youngni99,1871,WS3,1,32,15,15
cravebi01,1872,BL1,1,41,27,13
millsev01,1872,BL1,2,17,8,6
clintji01,1872,BR1,1,11,0,11
woodji01,1872,BR1,2,18,3,15
fergubo01,1872,BR2,1,37,9,28
wrighha01,1872,BS1,1,48,39,8
hastisc01,1872,CL1,1,20,6,14
whitede01,1872,CL1,2,2,0,2
clappjo01,1872,MID,1,24,5,19
pearcdi01,1872,NY2,1,16,10,6
hatfijo01,1872,NY2,2,40,24,14
mcbridi01,1872,PH1,1,47,30,14
woodji01,1872,TRO,1,25,15,10
youngni99,1872,WS3,1,9,2,7
millejo01,1872,WS4,1,11,0,11
mcveyca01,1873,BL1,1,33,20,13
careyto01,1873,BL1,2,24,14,9
smithbi01,1873,BL4,1,5,0,5
fergubo01,1873,BR2,1,55,17,37
wrighha01,1873,BS1,1,60,43,16
allisdo01,1873,ELI,1,23,2,21
hatfijo01,1873,NY2,1,28,11,17
startjo01,1873,NY2,2,25,18,7
mcbridi01,1873,PH1,1,52,28,23
malonfe01,1873,PH2,1,10,8,2
woodji01,1873,PH2,2,43,28,15
youngni99,1873,WS5,1,39,8,31
whitewa01,1874,BL1,1,47,9,38
fergubo01,1874,BR2,1,56,22,33
wrighha01,1874,BS1,1,71,52,18
malonfe01,1874,CH2,1,36,18,18
woodji01,1874,CH2,2,23,10,13
pikeli01,1874,HR1,1,53,16,37
careyto01,1874,NY2,1,25,13,12
highadi01,1874,NY2,2,40,29,11
mcbridi01,1874,PH1,1,56,33,23
cravebi01,1874,PH2,1,58,29,29
paborch01,1875,BR2,1,42,2,40
boydbi01,1875,BR2,2,2,0,2
wrighha01,1875,BS1,1,82,71,8
woodji01,1875,CH2,1,69,30,37
fergubo01,1875,HR1,1,86,54,28
simmojo01,1875,KEO,1,13,1,12
gouldch01,1875,NH1,1,23,2,21
lathaju01,1875,NH1,2,18,4,14
paborch01,1875,NH1,3,6,1,5
hicksna01,1875,NY2,1,71,30,38
mcbridi01,1875,PH1,1,69,49,18
ansonca01,1875,PH1,2,8,4,2
mcgeami01,1875,PH2,1,63,34,27
addybo01,1875,PH2,2,7,3,4
cravebi01,1875,PH3,1,14,2,12
sweasch01,1875,SL1,1,19,4,15
pearcdi01,1875,SL2,1,72,39,29
holliho01,1875,WS6,1,20,4,16
parksbi01,1875,WS6,2,8,1,7
wrighha01,1876,BSN,1,70,39,31
spaldal01,1876,CHN,1,66,52,14
gouldch01,1876,CN1,1,65,9,56
fergubo01,1876,HAR,1,69,47,21
chapmja01,1876,LS1,1,69,30,36
cravebi01,1876,NY3,1,57,21,35
wrighal99,1876,PHN,1,60,14,45
graffma99,1876,SL3,1,56,39,17
mcmange99,1876,SL3,2,8,6,2
wrighha01,1877,BSN,1,61,42,18
spaldal01,1877,CHN,1,60,26,33
pikeli01,1877,CN1,1,14,3,11
addybo01,1877,CN1,2,24,5,19
mannija01,1877,CN1,3,20,7,12
fergubo01,1877,HAR,1,60,31,27
chapmja01,1877,LS1,1,61,35,25
mcmange99,1877,SL3,1,60,28,32
wrighha01,1878,BSN,1,60,41,19
fergubo01,1878,CHN,1,61,30,30
mcveyca01,1878,CN1,1,61,37,23
clappjo01,1878,IN1,1,63,24,36
chapmja01,1878,ML2,1,61,15,45
yorkto01,1878,PRO,1,62,33,27
clappjo01,1879,BFN,1,79,46,32
wrighha01,1879,BSN,1,84,54,30
ansonca01,1879,CHN,1,64,41,21
flintsi01,1879,CHN,2,19,5,12
mccorji01,1879,CL2,1,82,27,55
whitede01,1879,CN1,1,18,9,9
mcveyca01,1879,CN1,2,63,34,28
wrighge01,1879,PRO,1,85,59,25
dorgami01,1879,SR1,1,43,17,26
holbebi01,1879,SR1,2,1,0,1
maculji01,1879,SR1,3,27,5,21
phillho99,1879,TRN,1,47,12,34
fergubo01,1879,TRN,2,30,7,22
cranesa01,1880,BFN,1,84,24,58
wrighha01,1880,BSN,1,86,40,44
ansonca01,1880,CHN,1,86,67,17
mccorji01,1880,CL2,1,85,47,37
clappjo01,1880,CN1,1,82,21,59
mcgeami01,1880,PRO,1,16,8,7
wardjo01,1880,PRO,2,32,18,13
dorgami01,1880,PRO,3,39,26,12
fergubo01,1880,TRN,1,83,41,42
bancrfr99,1880,WOR,1,85,40,43
orourji01,1881,BFN,1,83,45,38
wrighha01,1881,BSN,1,83,38,45
ansonca01,1881,CHN,1,84,56,28
mcgeami01,1881,CL2,1,11,4,7
clappjo01,1881,CL2,2,74,32,41
bancrfr99,1881,DTN,1,84,41,43
farreja02,1881,PRO,1,51,24,27
yorkto01,1881,PRO,2,34,23,10
fergubo01,1881,TRN,1,85,39,45
dorgami01,1881,WOR,1,56,24,32
stoveha01,1881,WOR,2,27,8,18
myershe01,1882,BL2,1,74,19,54
snydepo01,1882,CN2,1,80,55,25
mackde01,1882,LS2,1,80,42,38
lathaju01,1882,PH4,1,75,41,34
prattal01,1882,PT1,1,79,39,39
cuthbne01,1882,SL4,1,80,37,43
orourji01,1882,BFN,1,84,45,39
morrijo01,1882,BSN,1,85,45,39
ansonca01,1882,CHN,1,84,55,29
mccorji01,1882,CL2,1,4,0,4
dunlafr01,1882,CL2,2,80,42,36
bancrfr99,1882,DTN,1,86,42,41
wrighha01,1882,PRO,1,84,52,32
fergubo01,1882,TRN,1,85,35,48
brownfr99,1882,WOR,1,41,9,32
bondto01,1882,WOR,2,6,2,4
chapmja01,1882,WOR,3,37,7,30
barnibi01,1883,BL2,1,96,28,68
phillho99,1883,CL5,1,97,32,65
snydepo01,1883,CN2,1,98,61,37
gerhajo01,1883,LS2,1,98,52,45
mutriji99,1883,NY4,1,97,54,42
knighlo01,1883,PH4,1,98,66,32
prattal01,1883,PT1,1,32,12,20
butleor99,1883,PT1,2,53,17,36
battijo01,1883,PT1,3,13,2,11
sullite01,1883,SL4,1,79,53,26
comisch01,1883,SL4,2,19,12,7
orourji01,1883,BFN,1,98,52,45
burdoja01,1883,BSN,1,54,30,24
morrijo01,1883,BSN,2,44,33,11
ansonca01,1883,CHN,1,98,59,39
bancrfr99,1883,CL2,1,100,55,42
chapmja01,1883,DTN,1,101,40,58
clappjo01,1883,NY1,1,98,46,50
fergubo01,1883,PHI,1,17,4,13
purcebl01,1883,PHI,2,82,13,68
wrighha01,1883,PRO,1,98,58,40
barnibi01,1884,BL2,1,109,63,43
tayloge99,1884,BR3,1,109,40,64
schmegu99,1884,CL5,1,110,69,39
whitewi01,1884,CN2,1,72,44,27
snydepo01,1884,CN2,2,40,24,14
giffoji99,1884,IN2,1,87,25,60
watkibi01,1884,IN2,2,23,4,18
walshmi99,1884,LS2,1,110,68,40
mutriji99,1884,NY4,1,112,75,32
knighlo01,1884,PH4,1,109,61,46
mcknide99,1884,PT1,1,12,4,8
fergubo01,1884,PT1,2,42,11,31
battijo01,1884,PT1,3,13,6,7
creamge01,1884,PT1,4,8,0,8
phillho99,1884,PT1,5,35,9,24
mosesfe99,1884,RIC,1,46,12,30
williji99,1884,SL4,1,85,51,33
comisch01,1884,SL4,2,25,16,7
mortoch01,1884,TL1,1,110,46,58
holliho01,1884,WS7,1,62,12,50
bicke99,1884,WS7,2,1,0,1
orourji01,1884,BFN,1,115,64,47
morrijo01,1884,BSN,1,116,73,38
ansonca01,1884,CHN,1,113,62,50
hackech99,1884,CL2,1,113,35,77
chapmja01,1884,DTN,1,114,28,84
priceji99,1884,NY1,1,100,56,42
wardjo01,1884,NY1,2,16,6,8
wrighha01,1884,PHI,1,113,39,73
bancrfr99,1884,PRO,1,114,84,28
curtied99,1884,ALT,1,25,6,19
hendebi99,1884,BLU,1,106,58,47
murnati01,1884,BSU,1,111,58,51
hengled99,1884,CHU,1,74,34,39
battijo01,1884,CHU,2,6,1,5
ellicjo01,1884,CHU,3,13,6,6
olearda01,1884,CNU,1,35,20,15
cranesa01,1884,CNU,2,70,49,21
wheelha01,1884,KCU,1,4,0,4
portema01,1884,KCU,2,16,3,13
sullite01,1884,KCU,3,62,13,46
loftuto01,1884,MLU,1,12,8,4
malonfe01,1884,PHU,1,67,21,46
sullite01,1884,SLU,1,31,28,3
dunlafr01,1884,SLU,2,83,66,16
thompam99,1884,SPU,1,9,2,6
simmojo01,1884,WIL,1,18,2,16
scanlmi99,1884,WSU,1,114,47,65
barnibi01,1885,BL2,1,110,41,68
hackech99,1885,BR3,1,37,15,22
byrnech99,1885,BR3,2,75,38,37
cayloop99,1885,CN2,1,112,63,49
hartji99,1885,LS2,1,112,53,59
giffoji99,1885,NY4,1,108,44,64
stoveha01,1885,PH4,1,113,55,57
phillho99,1885,PT1,1,111,56,55
comisch01,1885,SL4,1,112,79,33
galvipu01,1885,BFN,1,24,7,17
chapmja01,1885,BFN,2,88,31,57
morrijo01,1885,BSN,1,113,46,66
ansonca01,1885,CHN,1,113,87,25
mortoch01,1885,DTN,1,38,7,31
watkibi01,1885,DTN,2,70,34,36
