playerID,awardID,yearID,lgID,tie,notes,category
bondto01,Pitching Triple Crown,1877,NL,,,player
hinespa01,Triple Crown,1878,NL,,,player
heckegu01,Pitching Triple Crown,1884,AA,,,player
radboch01,Pitching Triple Crown,1884,NL,,,player
oneilti01,Triple Crown,1887,AA,,,player
keefeti01,Pitching Triple Crown,1888,NL,,,player
clarkjo01,Pitching Triple Crown,1889,NL,,,player
rusieam01,Pitching Triple Crown,1894,NL,,,player
duffyhu01,Triple Crown,1894,NL,,,player
youngcy01,Pitching Triple Crown,1901,AL,,,player
lajoina01,Triple Crown,1901,AL,,,player
wadderu01,Pitching Triple Crown,1905,AL,,,player
mathech01,Pitching Triple Crown,1905,NL,,,player
chaseha01,Baseball Magazine All-Star,1908,AL,,1B,player
lajoina01,Baseball Magazine All-Star,1908,AL,,2B,player
lordha01,Baseball Magazine All-Star,1908,AL,,3B,player
crigelo01,Baseball Magazine All-Star,1908,AL,,C,player
sullibi03,Baseball Magazine All-Star,1908,AL,,C,player
crawfsa01,Baseball Magazine All-Star,1908,AL,,CF,player
stonege01,Baseball Magazine All-Star,1908,AL,,LF,player
walshed01,Baseball Magazine All-Star,1908,AL,,P1,player
youngcy01,Baseball Magazine All-Star,1908,AL,,P2,player
wadderu01,Baseball Magazine All-Star,1908,AL,,P3,player
jossad01,Baseball Magazine All-Star,1908,AL,,P4,player
donovbi01,Baseball Magazine All-Star,1908,AL,,P5,player
cobbty01,Baseball Magazine All-Star,1908,AL,,RF,player
wallabo01,Baseball Magazine All-Star,1908,AL,,SS,player
chaseha01,Baseball Magazine All-Star,1908,ML,,1B,player
lajoina01,Baseball Magazine All-Star,1908,ML,,2B,player
devliar01,Baseball Magazine All-Star,1908,ML,,3B,player
bresnro01,Baseball Magazine All-Star,1908,ML,,C,player
klingjo01,Baseball Magazine All-Star,1908,ML,,C,player
donlimi01,Baseball Magazine All-Star,1908,ML,,CF,player
clarkfr01,Baseball Magazine All-Star,1908,ML,,LF,player
walshed01,Baseball Magazine All-Star,1908,ML,,P1,player
mathech01,Baseball Magazine All-Star,1908,ML,,P2,player
youngcy01,Baseball Magazine All-Star,1908,ML,,P3,player
brownmo01,Baseball Magazine All-Star,1908,ML,,P4,player
ruckena01,Baseball Magazine All-Star,1908,ML,,P5,player
cobbty01,Baseball Magazine All-Star,1908,ML,,RF,player
wagneho01,Baseball Magazine All-Star,1908,ML,,SS,player
tennefr02,Baseball Magazine All-Star,1908,NL,,1B,player
eversjo01,Baseball Magazine All-Star,1908,NL,,2B,player
devliar01,Baseball Magazine All-Star,1908,NL,,3B,player
bresnro01,Baseball Magazine All-Star,1908,NL,,C,player
klingjo01,Baseball Magazine All-Star,1908,NL,,C,player
donlimi01,Baseball Magazine All-Star,1908,NL,,CF,player
clarkfr01,Baseball Magazine All-Star,1908,NL,,LF,player
brownmo01,Baseball Magazine All-Star,1908,NL,,P1,player
mathech01,Baseball Magazine All-Star,1908,NL,,P2,player
ruckena01,Baseball Magazine All-Star,1908,NL,,P3,player
willivi01,Baseball Magazine All-Star,1908,NL,,P4,player
reulbed01,Baseball Magazine All-Star,1908,NL,,P5,player
schulfr01,Baseball Magazine All-Star,1908,NL,,RF,player
wagneho01,Baseball Magazine All-Star,1908,NL,,SS,player
mathech01,Pitching Triple Crown,1908,NL,,,player
chaseha01,Baseball Magazine All-Star,1909,AL,,1B,player
collied01,Baseball Magazine All-Star,1909,AL,,2B,player
lordha01,Baseball Magazine All-Star,1909,AL,,3B,player
carribi02,Baseball Magazine All-Star,1909,AL,,C1,player
sullibi03,Baseball Magazine All-Star,1909,AL,,C2,player
streega01,Baseball Magazine All-Star,1909,AL,,C3,player
speaktr01,Baseball Magazine All-Star,1909,AL,,CF,player
crawfsa01,Baseball Magazine All-Star,1909,AL,,LF,player
walshed01,Baseball Magazine All-Star,1909,AL,,P1,player
planked01,Baseball Magazine All-Star,1909,AL,,P2,player
johnswa01,Baseball Magazine All-Star,1909,AL,,P3,player
mullige01,Baseball Magazine All-Star,1909,AL,,P4,player
woodjo02,Baseball Magazine All-Star,1909,AL,,P5,player
cobbty01,Baseball Magazine All-Star,1909,AL,,RF,player
bushdo01,Baseball Magazine All-Star,1909,AL,,SS,player
chaseha01,Baseball Magazine All-Star,1909,ML,,1B,player
collied01,Baseball Magazine All-Star,1909,ML,,2B,player
lordha01,Baseball Magazine All-Star,1909,ML,,3B,player
klingjo01,Baseball Magazine All-Star,1909,ML,,C1,player
carribi02,Baseball Magazine All-Star,1909,ML,,C2,player
gibsoge01,Baseball Magazine All-Star,1909,ML,,C3,player
speaktr01,Baseball Magazine All-Star,1909,ML,,CF,player
clarkfr01,Baseball Magazine All-Star,1909,ML,,LF,player
mathech01,Baseball Magazine All-Star,1909,ML,,P1,player
walshed01,Baseball Magazine All-Star,1909,ML,,P2,player
brownmo01,Baseball Magazine All-Star,1909,ML,,P3,player
adamsba01,Baseball Magazine All-Star,1909,ML,,P4,player
planked01,Baseball Magazine All-Star,1909,ML,,P5,player
