year,league,division,division_winner
1969,NL,W,ATL
1969,AL,E,BAL
1969,AL,W,MIN
1969,NL,E,NYN
1970,AL,E,BAL
1970,NL,W,CIN
1970,AL,W,MIN
1970,NL,E,PIT
1971,AL,E,BAL
1971,AL,W,OAK
1971,NL,E,PIT
1971,NL,W,SFN
1972,NL,W,CIN
1972,AL,E,DET
1972,AL,W,OAK
1972,NL,E,PIT
1973,AL,E,BAL
1973,NL,W,CIN
1973,NL,E,NYN
1973,AL,W,OAK
1974,AL,E,BAL
1974,NL,W,LAN
1974,AL,W,OAK
1974,NL,E,PIT
1975,AL,E,BOS
1975,NL,W,CIN
1975,AL,W,OAK
1975,NL,E,PIT
1976,NL,W,CIN
1976,AL,W,KCA
1976,AL,E,NYA
1976,NL,E,PHI
1977,AL,W,KCA
1977,NL,W,LAN
1977,AL,E,NYA
1977,NL,E,PHI
1978,AL,W,KCA
1978,NL,W,LAN
1978,AL,E,NYA
1978,NL,E,PHI
1979,AL,E,BAL
1979,AL,W,CAL
1979,NL,W,CIN
1979,NL,E,PIT
1980,NL,W,HOU
1980,AL,W,KCA
1980,AL,E,NYA
1980,NL,E,PHI
1981,AL,E,ML4
1981,AL,W,OAK
1982,NL,W,ATL
1982,AL,W,CAL
1982,AL,E,ML4
1982,NL,E,SLN
1983,AL,E,BAL
1983,AL,W,CHA
1983,NL,W,LAN
1983,NL,E,PHI
1984,NL,E,CHN
1984,AL,E,DET
1984,AL,W,KCA
1984,NL,W,SDN
1985,AL,W,KCA
1985,NL,W,LAN
1985,NL,E,SLN
1985,AL,E,TOR
1986,AL,E,BOS
1986,AL,W,CAL
1986,NL,W,HOU
1986,NL,E,NYN
1987,AL,E,DET
1987,AL,W,MIN
1987,NL,W,SFN
1987,NL,E,SLN
1988,AL,E,BOS
1988,NL,W,LAN
1988,NL,E,NYN
1988,AL,W,OAK
1989,NL,E,CHN
1989,AL,W,OAK
1989,NL,W,SFN
1989,AL,E,TOR
1990,AL,E,BOS
1990,NL,W,CIN
1990,AL,W,OAK
1990,NL,E,PIT
1991,NL,W,ATL
1991,AL,W,MIN
1991,NL,E,PIT
1991,AL,E,TOR
1992,NL,W,ATL
1992,AL,W,OAK
1992,NL,E,PIT
1992,AL,E,TOR
