yearID,teamID,name,lgID,divID,G,GHome,W,L,Rank,park,attendance,BPF,PPF
1871,BS1,Boston Red Stockings,NA,,31,,20,10,3,South End Grounds I,,103,98
1871,CH1,Chicago White Stockings,NA,,28,,19,9,2,Union Base-Ball Grounds,,104,102
1871,CL1,Cleveland Forest Citys,NA,,29,,10,19,8,National Association Grounds,,96,100
1871,FW1,Fort Wayne Kekiongas,NA,,19,,7,12,7,Hamilton Field,,101,107
1871,NY2,New York Mutuals,NA,,33,,16,17,5,Union Grounds (Brooklyn),,90,88
1871,PH1,Philadelphia Athletics,NA,,28,,21,7,1,Jefferson Street Grounds,,102,98
1871,RC1,Rockford Forest Citys,NA,,25,,4,21,9,Agricultural Society Fair Grounds,,97,99
1871,TRO,Troy Haymakers,NA,,29,,13,15,6,Haymakers' Grounds,,101,100
1871,WS3,Washington Olympics,NA,,32,,15,15,4,Olympics Grounds,,94,98
1872,BL1,Baltimore Canaries,NA,,58,,35,19,2,Newington Park,,106,102
1872,BR1,Brooklyn Eckfords,NA,,29,,3,26,9,Union Grounds,,87,96
1872,BR2,Brooklyn Atlantics,NA,,37,,9,28,6,Capitoline Grounds,,115,122
1872,BS1,Boston Red Stockings,NA,,48,,39,8,1,South End Grounds I,,105,100
1872,CL1,Cleveland Forest Citys,NA,,22,,6,16,7,National Association Grounds,,96,100
1872,MID,Middletown Mansfields,NA,,24,,5,19,8,Mansfield Club Grounds,,98,103
1872,NY2,New York Mutuals,NA,,56,,34,20,3,Union Grounds (Brooklyn),,93,92
1872,PH1,Philadelphia Athletics,NA,,47,,30,14,4,Jefferson Street Grounds,,102,100
1872,TRO,Troy Haymakers,NA,,25,,15,10,5,Haymakers' Grounds,,101,100
1872,WS3,Washington Olympics,NA,,9,,2,7,10,Olympics Grounds,,94,98
1872,WS4,Washington Nationals,NA,,11,,0,11,11,Nationals Grounds,,129,141
1873,BL1,Baltimore Canaries,NA,,57,,34,22,3,Newington Park,,101,102
1873,BL4,Baltimore Marylands,NA,,6,,0,6,9,Newington Park,,77,99
1873,BR2,Brooklyn Atlantics,NA,,55,,17,37,6,Union Grounds,,90,94
1873,BS1,Boston Red Stockings,NA,,60,,43,16,1,South End Grounds I,,106,100
1873,ELI,Elizabeth Resolutes,NA,,23,,2,21,8,Waverly Fairgrounds,,92,103
1873,NY2,New York Mutuals,NA,,53,,29,24,4,Union Grounds (Brooklyn),,98,96
1873,PH1,Philadelphia Athletics,NA,,52,,28,23,5,Jefferson Street Grounds,,108,105
